respondent_age_group,gender,education_level,occupation_type,monthly_income_range,location_state,most_used_network  ,network_rating_in_area,data_purchase_frequency,monthly_data_usage_in_GB,device_used_for_internet,main_data_usage_purpose, monthly_data_budget ,primary_mobile_network,network_speed_satisfaction,data_affordability_opinion,best_value_network,run_out_of_data_frequency,switched_network_reason,biggest_data_frustration
26-35,Female,Graduate,Self employed,"?50,000– ?99,000",Lagos,MTN,4,Biweekly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Satisfied,Quite expensive,MTN,Occasionally,"No, I’ve stayed with my current provider",High cost
18-25,Female,Undergraduate,Student,"Below ?50,000",Kwara,MTN,4,Weekly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",One,Satisfied,Very affordable,MTN,Very often,"Yes, due to poor network quality",Data finishes too fast
26-35,Female,Postgraduate,Self employed,"?100,000 – ?199,000",Abuja,Airtel,4,Biweekly,8,Laptop,Online learning or research,"10,000.00",Two,Satisfied,Fairly affordable,Glo,Very often,"Yes, due to other reasons",Poor network speed
18-25,Female,Undergraduate,Student,"?50,000– ?99,000",Ekiti,MTN,4,Monthly,8,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","10,000.00",Two,Satisfied,Very expensive,Glo,Very often,"Yes, due to high cost",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,5,Every 2–3 days,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Two,Satisfied,Very expensive,MTN,Very often,"Yes, due to high cost",High cost
18-25,Female,Undergraduate,Student,,Kwara,Glo,3,Every 2–3 days,8,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","7,500.00",Two,Neutral,Quite expensive,Glo,Very often,"Yes, due to poor network quality",Data finishes too fast
18-25,Female,Undergraduate,Student,"Below ?50,000",Oyo,Glo,4,Weekly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Very satisfied,Fairly affordable,Airtel,Very often,"Yes, due to poor network quality",Data finishes too fast
26-35,Female,Graduate,Self employed,"?50,000– ?99,000",Abuja,MTN,4,Every 2–3 days,8,Smartphone,Online learning or research,"7,500.00",One,Satisfied,Quite expensive,Glo,Occasionally,"Yes, due to other reasons",Lack of transparency in data usage
36-45,Female,Other,Employed,"?200,000 – ?299,000",Kwara,MTN,4,Every 2–3 days,8,Laptop,Online learning or research,"7,500.00",Two,Satisfied,Quite expensive,Airtel,Very often,"Yes, due to poor network quality",Limited coverage in my area
26-35,Male,Graduate,Employed,"?50,000– ?99,000",Kwara,MTN,3,Weekly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Satisfied,Fairly affordable,Glo,Very often,"Yes, due to other reasons",High cost
26-35,Female,Graduate,Employed,"?50,000– ?99,000",Kwara,Airtel,3,Every 2–3 days,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Two,Neutral,Fairly affordable,MTN,Very often,"Yes, due to high cost",Data finishes too fast
